Year,Latitude,Line,Line Group (Path ID),Longitude,Point Order,Station,Traffic
2013,48.862613158,2,2,2.386721812,21,Père-Lachaise,4682893
2013,48.858365472,2,2,2.389387391,22,Philippe Auguste,1876528
2013,48.882561789,2,2,2.337786129,11,Pigalle,6201914
2013,48.883623367,2,2,2.327306822,9,Place de Clichy,9356430
2013,48.871644802,2,2,2.276648075,1,Porte Dauphine,2890496
2013,48.882529224,2,2,2.320984144,8,Rome,2818857
2013,48.88430479,2,2,2.367085015,15,Stalingrad,7588899
2013,48.878066199,2,2,2.298030713,4,Ternes,3928660
2013,48.869671662,2,2,2.285267268,2,Victor Hugo,3908009
2013,48.881054398,2,2,2.315270551,7,Villiers,6309746
2013,48.892472375,3,3,2.285373878,2,Anatole-France,3866326
2013,48.865292944,3,3,2.356377781,17,Arts-et-Métiers,4036745
2013,48.868797684,3,3,2.341232683,14,Bourse,3288142
2013,48.878709877,3,3,2.322824841,9,Europe,1619580
2013,48.863334578,3,3,2.415682604,25,Gallieni (Parc de Bagnolet),6316117
2013,48.864834778,3,3,2.398462239,23,Gambetta,7445691
2013,48.87334277,3,3,2.32850775,11,Havre-Caumartin,7899688
2013,48.888829243,3,3,2.288137311,3,Louise Michel,3594105
2013,48.88281474,3,3,2.309694094,7,Malesherbes,2623165
2013,48.870702941,3,3,2.331805156,12,Opéra,12269711
2013,48.865160607,3,3,2.375846795,20,Parmentier,3305625
2013,48.862613158,3,3,2.386721812,22,Père-Lachaise,4682893
2013,48.884550332,3,3,2.297517049,5,Péreire,4787487
2013,48.897118755,3,3,2.280489417,1,Pont de Levallois-Bécon,5100344
2013,48.864396304,3,3,2.407999953,24,Porte de Bagnolet,4487998
2013,48.88555072,3,3,2.292742041,4,Porte de Champerret,3585658
2013,48.869372931,3,3,2.335742475,13,Quatre Septembre,1758632
2013,48.86631183,3,3,2.352035255,16,Réaumur-Sébastopol,4925640
2013,48.867486039,3,3,2.363669598,19,République,16953175
2013,48.863987808,3,3,2.380073296,21,Rue Saint-Maur,2960155
2013,48.875577869,3,3,2.326185659,10,Saint-Lazare,44939493
2013,48.867413331,3,3,2.346613639,15,Sentier,3568784
2013,48.866368782,3,3,2.361080722,18,Temple,1207453
2013,48.881054398,3,3,2.315270551,8,Villiers,6309746
2013,48.883873961,3,3,2.304651442,6,Wagram,2617716
2013,48.864834778,3B,3B,2.398462239,1,Gambetta,7445691
2013,48.868519875,3B,3B,2.40135199,2,Pelleport,386605
2013,48.877069991,3B,3B,2.406385823,4,Porte des Lilas,3724568
2013,48.871951099,3B,3B,2.404857636,3,Saint-Fargeau,884413
2013,48.828398514,4,4,2.326745674,25,Alésia,5237657
2013,48.883620732,4,4,2.349737194,5,Barbès-Rochechouart,8392009
2013,48.872589011,4,4,2.355470369,8,Château d'Eau,4059164
2013,48.887176067,4,4,2.349826633,4,Château Rouge,6874733
2013,48.858519522,4,4,2.347119401,13,Châtelet,13929657
2013,48.855325269,4,4,2.346761275,14,Cité,2317889
2013,48.833591904,4,4,2.33189346,23,Denfert-Rochereau,4339678
2013,48.863494659,4,4,2.34866984,11,Etienne Marcel,2803893
2013,48.876061306,4,4,2.357918677,7,Gare de l'Est (Verdun),19989528
2013,48.879965443,4,4,2.354703078,6,Gare du Nord,49977513
2013,48.862194721,4,4,2.345836267,12,Les Halles,15347160
2013,48.818064829,4,4,2.31953674,27,Mairie de Montrouge,2916681
2013,48.890876993,4,4,2.349837072,3,Marcadet-Poissonniers,6381604
2013,48.843042851,4,4,2.322635051,20,Montparnasse-Bienvenue,31919734
2013,48.8313197,4,4,2.329426935,24,Mouton-Duvernet,1688932
2013,48.852248936,4,4,2.338557558,16,Odéon,6156948
2013,48.822601288,4,4,2.324805553,26,Porte d'Orléans (Général Leclerc),6598073
2013,48.89728706,4,4,2.344778877,1,Porte de Clignancourt,8699614
2013,48.838963714,4,4,2.330583097,22,Raspail,1836323
2013,48.86631183,4,4,2.352035255,10,Réaumur-Sébastopol,4925640
2013,48.85350559,4,4,2.332372163,17,Saint-Germain des Prés,4498265
2013,48.853287582,4,4,2.343468452,15,Saint-Michel,8797595
2013,48.846580389,4,4,2.326932636,19,Saint-Placide,3287084
2013,48.850804785,4,4,2.330867564,18,Saint-Sulpice,2551607
2013,48.894632689,4,4,2.347091065,2,Simplon,2994773
2013,48.869199706,4,4,2.354097106,9,Strasbourg-Saint-Denis,9751180
2013,48.842003654,4,4,2.329003219,21,Vavin,2212681
