Basin,Date,Latitude,Longitude,Number of Records,Pressure (mb),Storm Name,Wind speed (kt)
West Pacific,7/17/2012 12:00:00 PM,27.8,128.3,1,990,KHANUN,45
West Pacific,7/17/2012 3:00:00 PM,28.4,127.8,1,990,KHANUN,45
West Pacific,7/17/2012 6:00:00 PM,28.7,127.5,1,985,KHANUN,50
West Pacific,7/18/2012 12:00:00 AM,29.8,126.7,1,985,KHANUN,50
West Pacific,7/18/2012 6:00:00 AM,31.9,126.2,1,990,KHANUN,45
West Pacific,7/18/2012 12:00:00 PM,33.7,126.3,1,992,KHANUN,40
West Pacific,7/18/2012 12:00:00 PM,15,128.6,1,1006,VICENTE,0
West Pacific,7/18/2012 6:00:00 PM,35.8,126.5,1,994,KHANUN,35
West Pacific,7/18/2012 6:00:00 PM,15,127.6,1,1004,VICENTE,0
West Pacific,7/19/2012 12:00:00 AM,38,128,1,998,KHANUN,0
West Pacific,7/19/2012 12:00:00 AM,15.1,126.9,1,1004,VICENTE,0
West Pacific,7/19/2012 6:00:00 AM,39.5,127.8,1,1000,KHANUN,0
West Pacific,7/19/2012 6:00:00 AM,15.3,126.2,1,1004,VICENTE,0
West Pacific,7/19/2012 12:00:00 PM,39.8,128.1,1,1000,KHANUN,0
West Pacific,7/19/2012 12:00:00 PM,15.5,125.6,1,1004,VICENTE,0
West Pacific,7/19/2012 6:00:00 PM,40.3,128.4,1,1004,KHANUN,0
West Pacific,7/19/2012 6:00:00 PM,15.8,124.9,1,1004,VICENTE,0
West Pacific,7/20/2012 12:00:00 AM,40.4,129.3,1,1006,KHANUN,0
West Pacific,7/20/2012 12:00:00 AM,16.2,124.3,1,1004,VICENTE,0
West Pacific,7/20/2012 6:00:00 AM,17.1,123.4,1,1002,VICENTE,0
West Pacific,7/20/2012 12:00:00 PM,18.5,122.7,1,1002,VICENTE,0
West Pacific,7/20/2012 6:00:00 PM,19,120.5,1,1000,VICENTE,0
West Pacific,7/21/2012 12:00:00 AM,18.7,118.6,1,1000,VICENTE,0
West Pacific,7/21/2012 6:00:00 AM,18.7,117.6,1,998,VICENTE,0
West Pacific,7/21/2012 12:00:00 PM,18.8,116.6,1,996,VICENTE,35
West Pacific,7/21/2012 6:00:00 PM,18.8,115.7,1,992,VICENTE,40
West Pacific,7/22/2012 12:00:00 AM,18.8,115.3,1,990,VICENTE,45
West Pacific,7/22/2012 6:00:00 AM,18.7,115.1,1,990,VICENTE,45
